,State,County,Hospital,Number of Completed Surveys,FIPS
504,IL,Fulton,1.0,415.0,17057
505,IL,Greene,1.0,50.0,17061
506,IL,Grundy,1.0,339.0,17063
507,IL,Hamilton,1.0,117.0,17065
508,IL,Hancock,1.0,84.0,17067
509,IL,Hardin,1.0,92.0,17069
510,IL,Henry,2.0,567.0,17073
511,IL,Iroquois,1.0,86.0,17075
512,IL,Jackson,2.0,573.0,17077
513,IL,Jefferson,2.0,638.0,17081
514,IL,Jersey,1.0,225.0,17083
515,IL,Jo Daviess,1.0,102.0,17085
516,IL,Kane,5.0,4231.0,17089
517,IL,Kankakee,2.0,711.0,17091
518,IL,Knox,2.0,672.0,17095
519,IL,La Salle,3.0,941.0,17099
520,IL,Lake,6.0,6449.0,17097
521,IL,Lawrence,1.0,106.0,17101
522,IL,Lee,1.0,377.0,17103
523,IL,Livingston,1.0,331.0,17105
524,IL,Logan,1.0,146.0,17107
525,IL,Macon,2.0,2029.0,17115
526,IL,Macoupin,2.0,165.0,17117
527,IL,Madison,5.0,2740.0,17119
528,IL,Marion,2.0,527.0,17121
529,IL,Mason,1.0,50.0,17125
530,IL,Massac,1.0,215.0,17127
531,IL,Mcdonough,1.0,224.0,17109
532,IL,Mchenry,3.0,3030.0,17111
533,IL,Mclean,2.0,2526.0,17113
534,IL,Mercer,1.0,50.0,17131
535,IL,Montgomery,2.0,345.0,17135
536,IL,Morgan,1.0,435.0,17137
537,IL,Ogle,1.0,113.0,17141
538,IL,Peoria,3.0,5424.0,17143
539,IL,Perry,2.0,187.0,17145
540,IL,Piatt,1.0,64.0,17147
541,IL,Pike,1.0,61.0,17149
542,IL,Randolph,3.0,412.0,17157
543,IL,Richland,1.0,301.0,17159
544,IL,Rock Island,2.0,1547.0,17161
545,IL,Saint Clair,4.0,4072.0,17163
546,IL,Saline,2.0,289.0,17165
547,IL,Sangamon,2.0,3908.0,17167
548,IL,Schuyler,1.0,50.0,17169
549,IL,Shelby,1.0,50.0,17173
550,IL,Stephenson,1.0,641.0,17177
551,IL,Tazewell,2.0,533.0,17179
552,IL,Union,1.0,116.0,17181
553,IL,Vermilion,2.0,290.0,17183
